Date,Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Ground,Fatalities (air),Aboard,Survivors,Continent
1960-04-19,1960,Qtr 2,April,19,Colombia,Curtiss,Curtiss C 46HK,0,37,51,14,South America
1999-04-08,1999,Qtr 2,April,8,Colombia,De Havilland,De Havilland Canada DHC-6 Twin Otter,0,5,5,0,South America
1986-04-27,1986,Qtr 2,April,27,Colombia,De Havilland,De Havilland Canada DHC-6 Twin Otter,0,13,13,0,South America
1978-04-29,1978,Qtr 2,April,29,Colombia,McDonnell Douglas,Douglas C 118AHK,0,8,12,4,South America
1950-04-15,1950,Qtr 2,April,15,Colombia,McDonnell Douglas,Douglas C 47 (DC,0,2,4,2,South America
1962-04-22,1962,Qtr 2,April,22,Colombia,McDonnell Douglas,Douglas DC-3,0,40,40,0,South America
1962-04-06,1962,Qtr 2,April,6,Colombia,McDonnell Douglas,Douglas DC-3,0,31,31,0,South America
1977-04-10,1977,Qtr 2,April,10,Colombia,McDonnell Douglas,Douglas DC-3,0,35,35,0,South America
1976-04-02,1976,Qtr 2,April,2,Colombia,McDonnell Douglas,Douglas DC-3,0,5,16,11,South America
1951-04-02,1951,Qtr 2,April,2,Colombia,McDonnell Douglas,Douglas DC-3,0,26,26,0,South America
1967-04-26,1967,Qtr 2,April,26,Colombia,McDonnell Douglas,Douglas DC-3,0,17,18,1,South America
1989-04-19,1989,Qtr 2,April,19,Colombia,Pilatus,Pilatus PC 6 Turbo PorterFAC,0,11,11,0,South America
1981-04-17,1981,Qtr 2,April,17,United States,Handley Page,Hadley Page 137Jetstream I / Cessna 206N11360 / N4862F,0,15,19,4,North America
2011-04-04,2011,Qtr 2,April,4,Congo,Canadair,Canadair CL 600 CRJ,0,32,33,1,Africa
2008-04-15,2008,Qtr 2,April,15,Congo,McDonnell Douglas,McDonnell Douglas DC-9,37,3,94,91,Africa
1996-04-03,1996,Qtr 2,April,3,Croatia,Boeing,Boeing 737,0,35,35,0,Europe
1988-04-05,1988,Qtr 2,April,5,Cyprus,Boeing,Boeing 747,0,2,112,110,Asia
1967-04-20,1967,Qtr 2,April,20,Cyprus,Bristol,Bristol Britannia 175HB ITB,0,126,130,4,Asia
2009-04-29,2009,Qtr 2,April,29,Iceland,Boeing,Boeing 737,0,7,7,0,Europe
1997-04-14,1997,Qtr 2,April,14,Honduras,Fokker,Fokker F 27 Friendship 600D2,0,3,7,4,North America
1969-04-21,1969,Qtr 2,April,21,Benin,Fokker,Fokker F-27 Friendship,0,44,44,0,Africa
1994-04-06,1994,Qtr 2,April,6,Ecuador,De Havilland,de Havilland Canada DHC 6 Twin Otter 300FAE450,0,17,17,0,South America
1958-04-07,1958,Qtr 2,April,7,Ecuador,McDonnell Douglas,Douglas DC 3HC,0,32,32,0,South America
1958-04-02,1958,Qtr 2,April,2,Ecuador,Junkers,Junkers JU 52/3mHC,0,3,14,11,South America
1983-04-29,1983,Qtr 2,April,29,Ecuador,Aerospatiale,Sud Aviation SE 210 Caravelle VIRHC,0,8,100,92,South America
1979-04-23,1979,Qtr 2,April,23,Ecuador,Vickers,Vickers Viscount 785DHC AVP,0,57,57,0,South America
1956-04-30,1956,Qtr 2,April,30,United Kingdom,Avro,Avro York,0,2,54,52,Europe
1990-04-30,1990,Qtr 2,April,30,United Kingdom,Avro,Avro Shackleton AEW 2WR965,0,10,10,0,Europe
1950-04-13,1950,Qtr 2,April,13,United Kingdom,Vickers,Vickers 610 Viking 1BG AIVL,0,0,32,32,Europe
2008-04-16,2008,Qtr 2,April,16,Portugal,Antonov,Antonov An 32B3C,0,13,13,0,Europe
1977-04-19,1977,Qtr 2,April,19,Estonia,Antonov,Antonov An-24,0,21,21,0,Europe
1972-04-18,1972,Qtr 2,April,18,Ethiopia,BAC,BAC Super VC 10 11545X,0,43,107,64,Africa
2014-04-20,2014,Qtr 2,April,20,Finland,Unknown,Aerocomp Comp Air 8OH XDZ,0,8,8,0,Europe
1983-04-30,1983,Qtr 2,April,30,United States,Convair,Convair CV 340141010,0,15,15,0,North America
1955-04-02,1955,Qtr 2,April,2,United States,Curtiss,Curtiss C 46AN51424,0,2,2,0,North America
1951-04-25,1951,Qtr 2,April,25,United States,McDonnell Douglas,Douglas DC 4 /Beechcraft SMB,0,43,43,0,North America
2000-04-05,2000,Qtr 2,April,5,United States,Gates Learjet,Learjet 35AN86BE,0,3,3,0,North America
1922-04-07,1922,Qtr 2,April,7,France,De Havilland,de Havilland DH 18 / Farman F,0,7,7,0,Europe
1989-04-10,1989,Qtr 2,April,10,France,Fairchild,Fairchild FH 227BF,0,22,22,0,Europe
1935-04-01,1935,Qtr 2,April,1,France,Farman,Farman F 300F,0,1,3,2,Europe
1936-04-21,1936,Qtr 2,April,21,France,Fokker,Fokker F.VII,0,2,2,0,Europe
1991-04-19,1991,Qtr 2,April,19,France,Dornier,Dornier Do 228,0,11,22,11,Europe
1993-04-27,1993,Qtr 2,April,27,Gambia,De Havilland,de Havilland  Canada  DHC 5D BuffaloAF,0,30,30,0,Africa
1997-04-04,1997,Qtr 2,April,4,United States,Aviation Traders,Aviation Traders ATL 98 CarvairN83FA,0,2,2,0,North America
1947-04-22,1947,Qtr 2,April,22,United States,McDonnell Douglas,Douglas DC-3,0,10,10,0,North America
